Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Escherichia coli 1-176-05_S1_C1 draft (172 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020005405 draft (6 frags)												
Escherichia coli 3-373-03_S1_C2 draft (178 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridium butyricum DKU-01 draft (79 frags)												
Escherichia coli TW10598 draft (310 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 85												
Finegoldia magna ALB8 draft (54 frags)												
Klebsiella pneumoniae G5-2 draft (107 frags)												
Haemophilus influenzae NT127 draft (41 frags)				Secondary						Secondary		
Haemophilus parasuis 29775 Haemophilus parasuis 29755 draft (281 frags)												
Cronobacter sakazakii ES35 draft (183 frags)											Secondary	
Haemophilus parasuis ST4-1 draft (191 frags)												
Eubacterium sp. 3_1_31 draft (45 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae subsp. pneumoniae KPR0928 												
Pseudomonas aeruginosa VRFPA01 draft (81 frags)												
Streptococcus pneumoniae DAR831 draft (52 frags)												
Dickeya zeae NCPPB 2538 draft (46 frags)												
Escherichia coli O157:H7 str. 2011EL-2090 draft (197 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae UHKPC179 draft (174 frags)												
Escherichia coli O145:H28 str. RM12761 plasmid pRM12761 												
Escherichia coli strain MI10-01 draft (228 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020049540 draft (4 frags)												
Streptococcus sanguinis SK1058 draft (23 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Escherichia coli HVH 32 (4-3773988) draft (41 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
"Saccharomyces cerevisiae VL3, combined chrs"												
Lactobacillus acidophilus DSM 9126 draft (45 frags)												
Staphylococcus epidermidis strain 8400 draft (45 frags)												
Pseudomonas sp. TX1 draft (138 frags)												
Citrobacter freundii str. ballerup 7851/39 draft (357 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis Scl19 draft (143 frags)												
Klebsiella sp. YR343 Pantoea sp. YR343 draft (128 frags)											Secondary	
Escherichia coli C40_11 draft (564 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium phage PHL066M04												
Streptococcus pseudopneumoniae G42 draft (199 frags)												
Shigella flexneri 2005184 draft (316 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus equi subsp. ruminatorum CECT 5772 draft (117 frags)				Secondary		Secondary				Secondary		Secondary
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4 draft (140 frags)												
Mannheimia haemolytica serotype A2 str. BOVINE draft (84 frags)												
Streptococcus agalactiae BSU92 draft (18 frags)												
Escherichia coli UMEA 3298-1 draft (46 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0305260.1 draft (26 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus mutans TCI-154 draft (120 frags)												
Tobacco mosaic virus isolate Wenxing					Secondary							
Shigella flexneri Shi06HN250 draft (306 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae 2081685 draft (13 frags)												
Streptococcus pyogenes MGAS2111 draft (126 frags)												
Escherichia coli PA4 draft (455 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain S6662 draft (256 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain E. coli draft (141 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 5-172-05_S4_C3 draft (110 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium F9730129-1 draft (94 frags)												
Bacteroides sp. 20_3 draft (125 frags)	DETECTED	DETECTED	DETECTED				DETECTED	DETECTED	DETECTED			
Dickeya dadantii Ech586 chromosome												
Lactobacillus gasseri 202-4 draft (70 frags)												
Veillonella atypica ACS-049-V-Sch6 draft (63 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Escherichia coli ECC-Z draft (24 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Avian gyrovirus 2												
Desulfovibrio piger ATCC 29098 draft (127 frags)												
Streptococcus agalactiae FSL C1-487 draft (124 frags)												
Bacteroides sp. 3_1_23 draft (87 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary
Escherichia coli MS 85-1 draft (234 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae Kb140 draft (2 frags)												
Clostridium perfringens F262 chromosome												
Escherichia coli 1-182-04_S3_C3 draft (306 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium LCT-EF20 draft (111 frags)												
Klebsiella sp. BRL6-2					Secondary					Secondary	Secondary	Secondary
Escherichia coli JJ1886				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pasteurella multocida subsp. gallicida P1059 draft (39 frags)										Secondary		
Escherichia coli IS1 draft (440 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae MGH 19 draft (17 frags)												
Dickeya solani RNS 08.23.3.1.A draft (11 frags)												
Streptococcus agalactiae 138P												
Lactobacillus sp. 7_1_47FAA draft (28 frags)												
Streptococcus mitis SK564 draft (35 frags)												Secondary
Corynebacterium jeikeium strain Cj37130 draft (30 frags)												
Enterococcus faecium Patient #1-3 Enterococcus faecium EnGen0318 draft (84 frags)												
Streptococcus pneumoniae WL400 draft (87 frags)												
Escherichia coli 1047 draft (399 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 1-182-04_S1_C2 draft (112 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides dorei CL02T12C06 draft (110 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Clostridium sp. D5 draft (171 frags)												
Streptococcus agalactiae CCUG 28551 draft (113 frags)												
Streptococcus agalactiae FSL S3-277 draft (91 frags)												
Bryantella formatexigens DSM 14469 Marvinbryantia formatexigens DSM 14469 draft (58 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli KTE19 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides fragilis str. S38L5 draft (83 frags)	Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary		Secondary	
Pseudomonas aeruginosa PAb1 draft (658 frags)												
Enterococcus faecium UAA946 Enterococcus faecalis EnGen0253 draft (54 frags)												
Escherichia coli HVH 176 (4-3428664) draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus downei F0415 draft (17 frags)				Secondary		Secondary				Secondary		Secondary
Staphylococcus epidermidis NIHLM020 draft (64 frags)												
Klebsiella oxytoca E718 plasmid pKOX_R1 												
Lactococcus lactis subsp. lactis bv. diacetylactis plasmid pVF22 												
Escherichia coli KTE205 draft (56 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Ruminococcus torques ATCC 27756 draft (64 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Enterococcus faecalis RM4679 draft (29 frags)												
Lactobacillus paracasei N1115												
Prevotella timonensis DSM 22865 Prevotella timonensis 4401737 = DSM 22865 = JCM 15640 draft (101 frags)												
Klebsiella pneumoniae CHS 61 draft (13 frags)												
Prevotella brevis ATCC 19188 draft (34 frags)												
Escherichia coli BWH 34 draft (5 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain UCD_JA03_pb draft (10 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium breve S27				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli KTE54 draft (36 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE12 draft (53 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus isolate CIAV89-69												
Klebsiella pneumoniae BIDMC 46b draft (13 frags)												
Escherichia coli 2-177-06_S1_C3 draft (146 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus isolate VRDC/CAV/HR/C25/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds												
Escherichia coli 1-110-08_S4_C3 draft (196 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis 7330112-3 draft (39 frags)												
Escherichia coli 907357 draft (187 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli MP020980.2 draft (51 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli B7A				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae CCUG 49086 draft (32 frags)												
Pectobacterium carotovorum subsp. odoriferum strain NCPPB 3839 draft (156 frags)												
Escherichia coli UMEA 3159-1 draft (43 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain UCD_JA17_pb draft (3 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA07643 draft (6 frags)												
Escherichia coli BIDMC 65 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Ruminococcus albus 8 draft (136 frags)									Secondary			
Cronobacter pulveris 601 draft (252 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA52612 draft (10 frags)												
Stx2-converting phage 1717 complete prophage genome												
Lactobacillus reuteri SD2112 chromosome												
Salmonella enterica subsp. enterica serovar Infantis str. 119944 draft (108 frags)												
Enterococcus faecalis TX0855 draft (93 frags)												
Escherichia coli KTE173 draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli B str. REL606 chromosome				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Bifidobacterium coryneforme strain LMG18911				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli DEC13A draft (37 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. H2495 draft (193 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 8-415-05_S3_C3 draft (152 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus sp. DORA_6_22 draft (385 frags)												
Klebsiella pneumoniae UHKPC 52 draft (4 frags)												
Haemophilus parasuis 84-17975 draft (99 frags)												
Escherichia coli EC4422 draft (393 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli NCCP15657 draft (93 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis YS3 draft (68 frags)						Secondary				Secondary		Secondary
Streptococcus salivarius M18 draft (6 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
tomato mosaic virus genes encoding RNA-dependent RNA polymerase movement protein and coat protein												
Streptococcus agalactiae CCUG 44140 draft (22 frags)												
Klebsiella pneumoniae 700603 draft (103 frags)												
Lactobacillus equi DPC 6820 draft (203 frags)												
Streptococcus pneumoniae 2090008 draft (40 frags)												
Shigella flexneri 2001004 draft (291 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli TW09098 draft (486 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis NT77 draft (146 frags)												Secondary
Escherichia coli LAU-EC2 draft (119 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 84 (4-1021478) draft (46 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia amylovora Ea266 draft (38 frags)												
Klebsiella pneumoniae CHS 17 draft (31 frags)												
Escherichia coli UMEA 3662-1 draft (22 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa 2192 draft (82 frags)												
Shigella flexneri 2002091 draft (282 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Parabacteroides johnsonii DSM 18315 draft (527 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Bacteroides sartorii JCM 16497 draft (694 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate LP223												
Enterobacter cloacae MR2 draft (230 frags)				Secondary	Secondary					Secondary	Secondary	Secondary
Klebsiella oxytoca MGH 27 draft (27 frags)												
Helcococcus sueciensis DSM 17243 draft (45 frags)												
Escherichia coli 1-110-08_S1_C1 draft (128 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 13 (4-7634056) draft (66 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Corynebacterium sp. KPL1817 draft (15 frags)												
Escherichia coli UMEA 3139-1 draft (114 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Salmonella enterica subsp. houtenae serovar 50:g z51:- str. 01-0133 draft (110 frags)												
Escherichia coli B26-2 draft (58 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus gallinarum strain SKF1 draft (6 frags)												
Streptococcus agalactiae LDS 617 draft (132 frags)												
Escherichia coli 09BKT078844 draft (623 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE34 draft (94 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli P0302293.2 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. H2498 draft (191 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 47												
Pseudomonas aeruginosa CF27 draft (23 frags)												
Streptococcus pneumoniae GA13856 draft (10 frags)												
Streptococcus pneumoniae GA13494 draft (15 frags)												
Lactobacillus rossiae DSM 15814 draft (278 frags)												
Aggregatibacter actinomycetemcomitans serotype c str. AAS4A draft (61 frags)				Secondary						Secondary		
Escherichia coli O111:H8 str. CVM9574 draft (469 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA14373 draft (18 frags)												
Streptococcus thermophilus MN-ZLW-002 chromosome				Secondary		Secondary				Secondary	Secondary	Secondary
Escherichia coli 2-052-05_S4_C3 draft (155 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli MP021017.3 draft (139 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B2949 draft (32 frags)												
Human papillomavirus type 6 complete genome isolate LP211												
Enterococcus faecium Patient #1-1 Enterococcus faecium EnGen0314 draft (106 frags)												
Enterococcus faecalis OG1RF chromosome												
Gyrovirus GyV3												
Escherichia coli AB42410445-isolate1 draft (231 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE93 draft (36 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes str. Manfredo chromosome												
Escherichia coli plasmid pHK17a 					Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli LAU-EC1 Klebsiella pneumoniae LAU-KP1 draft (86 frags)												
Lactobacillus johnsonii FI9785 chromosome												
Escherichia coli DEC7C draft (68 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus casei Lpc-37 draft (150 frags)												
Enterococcus faecalis B3119 draft (58 frags)												
Streptococcus pyogenes ABC020060793 draft (13 frags)												
Streptococcus parasanguinis ATCC 903 draft (84 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus agalactiae CCUG 37742 draft (46 frags)												
Human papillomavirus type 6 complete genome isolate 45												
Bacteroides fragilis str. S6R5 draft (80 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Escherichia coli BIDMC 71 draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridiales bacterium VE202-09 draft (78 frags)				Secondary		Secondary		Secondary				
Escherichia coli 2872800 draft (111 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae UCI 34 draft (20 frags)												
Escherichia coli KTE81 draft (42 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae CCUG 37736 draft (40 frags)												
Escherichia coli STEC_S1191 draft (39 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa draft (4 frags)												
Enterobacteria phage fiAA91-ss										Secondary		
Escherichia coli 908519 draft (235 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli STEC_B2F1 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KOEGE 62 (175a) draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Peptoniphilus sp. oral taxon 386 str. F0131 draft (72 frags)												
Enterococcus faecalis ERV72 draft (134 frags)												
Escherichia sp. TW09276 draft (328 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Atopobium parvulum DSM 20469 chromosome												
Escherichia coli 3431 draft (127 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes GA19681 draft (119 frags)												
Shigella boydii 5216-82 draft (75 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis SLO2C-1 draft (56 frags)												
Lactobacillus casei Lc-10 draft (76 frags)												
Streptococcus pneumoniae 2081685 draft (12 frags)												
Escherichia coli O111:NM str. K6897 draft (204 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia amylovora MR1 draft (29 frags)												
Escherichia coli 1-110-08_S1_C2 draft (137 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Citrobacter freundii ATCC 8090 = MTCC 1658 draft (171 frags)					Secondary	Secondary				Secondary	Secondary	Secondary
Tatumella ptyseos ATCC 33301 draft (85 frags)												
Streptococcus mutans B111SM-A draft (39 frags)												
Escherichia coli MP1 draft (77 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O169:H41 str. F9792 draft (113 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 24												
Bacteroides fragilis str. 3725 D9 (ii) Bacteroides fragilis str. 3725 D9 ii draft (91 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli O79:H7 str. 06-3501 draft (107 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis 11538 draft (39 frags)												Secondary
Proteus hauseri ZMd44 draft (51 frags)												
Streptococcus agalactiae strain ENC06 draft (70 frags)												
Actinobacillus suis ATCC 33415												
Escherichia coli 89.0511 draft (508 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 87												
Clostridium butyricum DORA_1 draft (224 frags)												
Enterococcus faecium E1620 draft (91 frags)												
Streptococcus pneumoniae PNI0008 draft (125 frags)												
Escherichia coli 5.2239 draft (432 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Fusobacterium sp. 3_1_5R draft (99 frags)												
Chicken anemia virus strain GD-M-12												
Escherichia coli 38.27 draft (479 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli UCI 66 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli PA49 draft (531 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae subsp. pneumoniae strain ATCC 43816 KPPR1												
Escherichia coli plasmid p271A 												
Streptococcus pyogenes GA03455 draft (55 frags)												
Pseudomonas aeruginosa BL02 draft (12 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 draft (185 frags)												
Escherichia coli 8-415-05_S1_C2 draft (155 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus phage 858												
Veillonella magna DSM 19857 draft (36 frags)				Secondary		Secondary				Secondary		Secondary
Escherichia coli EC1865 draft (788 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O111:NM str. 2010C-4715 draft (219 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Serratia symbiotica str. Tucson draft (600 frags)												
Haemophilus influenzae CGSHiCZ412602				Secondary						Secondary		
Escherichia coli O157:H7 str. FRIK966 draft (316 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Peptoniphilus indolicus ATCC 29427 draft (302 frags)												
Enterococcus faecalis VC1B-1 draft (83 frags)												
Escherichia coli E110019 draft (137 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Dialister succinatiphilus YIT 11850 draft (98 frags)												
Prevotella scopos JCM 17725 draft (112 frags)												
Corynebacterium pseudogenitalium ATCC 33035 draft (16 frags)												
Streptococcus orisratti DSM 15617 draft (92 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli O55:H7 str. USDA 5905 draft (154 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus equi subsp. zooepidemicus S31A1 Streptococcus equi subsp. zooepidemicus SzS31A1 draft (89 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Pectobacterium wasabiae strain NCPPB 3701 draft (89 frags)												
Escherichia coli UMN026 plasmid p2ESCUM 												
Streptococcus agalactiae SGBS027 draft (22 frags)												
Lactobacillus gasseri SV-16A-US draft (43 frags)												
Escherichia coli O111:H8 str. CVM9602 draft (268 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 3-105-05_S4_C1 draft (85 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis TX1467 draft (220 frags)												
Bacteroides ovatus 3941 Bacteroides ovatus SD CC 2a draft (305 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. TW14588 draft (10 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus iners ATCC 55195 draft (19 frags)												
Lactococcus raffinolactis 4877 draft (127 frags)												
Escherichia coli NA114 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2871950 draft (196 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae str. Canada MDR_19A draft (127 frags)												
Escherichia coli strain E. coli draft (334 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Cronobacter dublinensis 1210 draft (221 frags)					Secondary					Secondary	Secondary	Secondary
Escherichia coli O26:H11 str. CVM10224 draft (354 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE194 draft (34 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus isolate 16 												
Bifidobacterium ruminantium DSM 6489 draft (43 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mutans KK23 draft (38 frags)												
Escherichia coli UMEA 3656-1 draft (28 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL020PA1 draft (33 frags)												
Enterococcus faecalis UAA906 draft (16 frags)												
Escherichia coli P0302308.1 draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Methanobacterium sp. Maddingley MBC34 draft (104 frags)							Secondary					
Escherichia coli C1244_91 draft (305 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli C824_10 draft (302 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE187 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mutans TCI-219 draft (131 frags)												
Streptococcus agalactiae GB01004 draft (82 frags)												
Coprobacillus sp. 29_1 draft (80 frags)										Secondary		Secondary
Eggerthella sp. YY7918												
Pasteurella multocida strain 2213 draft (33 frags)										Secondary		
Escherichia coli 910096-2 draft (202 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium UAA719 draft (55 frags)												
Streptococcus agalactiae 1003A Streptococcus agalactiae str. Gottschalk 1003A draft (41 frags)												
Escherichia coli O111:NM str. 2009C-4052 draft (206 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterobacter sp. MGH 13 draft (25 frags)												
Escherichia coli MS 116-1 draft (477 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. 2011EL-2099 draft (176 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae UHKPC45 draft (5 frags)												
Escherichia coli 541-15 draft (301 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Torque teno virus complete genome isolate TTV-HD19 (rheu242)												
Streptococcus agalactiae GB00865 draft (45 frags)												
Enterobacter cloacae UCI 50 draft (12 frags)												
Escherichia coli TOP382-1 draft (118 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B83616-1 draft (88 frags)												
Streptococcus mutans SM4 draft (152 frags)												
Streptococcus pneumoniae GA19451 draft (18 frags)												
